Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2014-04-20 19:47:24,Other,,52.98,51:13,0:58,62.05,1309.0,642.74,,,2014-04-20-1947.gpx
2013-10-06 11:09:50,Cycling,,75.67,3:13:14,2:33,23.50,1966.0,991.95,,"First ride on a Bianchi racer. Awesome!",2013-10-06-1109.gpx
2013-09-28 15:17:16,Cycling,,48.24,2:40:20,3:19,18.05,1621.0,829.76,,,2013-09-28-1517.gpx
2013-09-28 11:44:40,Cycling,,49.44,2:11:43,2:40,22.52,1460.0,712.63,,"Awesome ride to Drøbak.",2013-09-28-1144.gpx
2013-08-25 09:34:29,Cycling,,0.00,0:00,,,0.0,0.00,,,2013-08-25-0934.gpx
2013-08-22 19:08:05,Cycling,,58.54,1:02:55,1:05,55.81,968.0,564.48,,,2013-08-22-1908.gpx
2013-08-22 12:18:08,Cycling,,205.46,12:21,0:04,997.53,217.0,37.40,,,2013-08-22-1218.gpx
2013-08-22 12:05:58,Running,,26.71,6:44,0:15,237.50,177.0,59.99,,,2013-08-22-1205.gpx
2013-08-20 19:29:16,Running,,7.47,6:11,0:50,72.41,174.0,76.99,,,2013-08-20-1929.gpx
2013-08-01 09:39:33,Walking,,3.98,19:34,4:55,12.19,242.0,11.40,,,2013-08-01-0939.gpx
2011-11-08 11:34:42,Mountain Biking,,16.86,47:36,2:49,21.24,546.0,227.28,,,2011-11-08-1134.gpx
2011-10-12 15:37:23,Mountain Biking,,16.62,51:01,3:04,19.55,539.0,240.50,,"Bike feels very heavy. ",2011-10-12-1537.gpx
2011-10-11 09:44:36,Mountain Biking,,16.65,50:32,3:02,19.77,547.0,243.01,,"Morning ride.",2011-10-11-0944.gpx
2011-10-07 18:04:49,Mountain Biking,,16.70,46:14,2:46,21.67,563.0,242.64,,,2011-10-07-1804.gpx
2011-10-01 15:08:06,Mountain Biking,,15.68,43:50,2:48,21.47,511.0,199.63,,,2011-10-01-1508.gpx
2011-09-30 14:38:47,Cycling,,16.43,47:27,2:53,20.77,503.0,241.87,,,2011-09-30-1438.gpx
2011-09-30 13:41:53,Cycling,,3.32,20:06,6:04,9.90,168.0,71.82,,,2011-09-30-1341.gpx
2011-09-10 20:00:52,Cycling,,3.86,9:57,2:35,23.24,90.0,7.75,,,2011-09-10-2000.gpx
2011-05-14 17:40:24,Cycling,"Maridalsvannet Rundt",14.71,48:09,3:16,18.33,570.0,131.73,,"Love'n it!!!",2011-05-14-1740.gpx
2011-05-13 18:37:42,Cycling,"Maridalsvannet Rundt",16.15,48:03,2:59,20.16,480.0,201.45,,"Not bad considering what i ate for lunch...",2011-05-13-1837.gpx
2011-05-11 19:05:19,Cycling,,16.28,45:58,2:49,21.25,501.0,175.83,,"Better then expected. shaved 4 min of previous time.",2011-05-11-1905.gpx
2011-05-09 15:51:19,Cycling,,15.51,49:01,3:10,18.98,485.0,160.14,,,2011-05-09-1551.gpx
2011-04-30 19:39:31,Cycling,,8.49,25:47,3:02,19.75,195.0,12.38,,,2011-04-30-1939.gpx
2011-04-29 16:22:29,Cycling,,4.31,16:02,3:43,16.13,113.0,9.85,,,2011-04-29-1622.gpx
2011-04-26 18:55:40,Cycling,,17.19,52:40,3:04,19.59,545.0,136.27,,,2011-04-26-1855.gpx
2011-04-25 10:02:02,Cycling,,20.34,1:10:45,3:29,17.25,607.0,209.95,,,2011-04-25-1002.gpx
2011-04-24 18:55:53,Hiking,,4.31,1:46:06,24:36,2.44,677.0,346.94,,,2011-04-24-1855.gpx
2011-04-23 12:13:00,Cycling,,4.59,19:04,4:09,14.45,168.0,117.05,,,2011-04-23-1213.gpx
2011-04-07 10:12:16,Cycling,,4.83,22:14,4:37,13.01,166.0,82.68,,,2011-04-07-1012.gpx
2011-04-06 15:48:11,Cycling,,3.28,11:21,3:28,17.33,79.0,1.18,,,2011-04-06-1548.gpx
2011-04-05 17:18:16,Cycling,,3.04,11:23,3:45,16.02,73.0,1.68,,,2011-04-05-1718.gpx
2011-04-05 08:51:38,Cycling,,6.20,36:21,5:52,10.23,256.0,108.88,,,2011-04-05-0851.gpx
2011-04-04 09:13:05,Cycling,,4.30,20:54,4:52,12.34,154.0,71.56,,"Pretty good for first outing of the season.",2011-04-04-0913.gpx
2011-03-17 20:53:14,Cross-Country Skiing,,4.60,1:05:35,14:16,4.21,807.0,98.52,,,2011-03-17-2053.gpx
2011-01-28 09:10:55,Other,,4.20,9:46,2:20,25.79,285.0,84.05,,,2011-01-28-0910.gpx
2011-01-27 15:46:19,Other,,5.58,36:45,6:35,9.10,898.0,69.95,,,2011-01-27-1546.gpx
2011-01-27 01:13:32,Other,,2.89,12:20,4:16,14.04,203.0,2.29,,,2011-01-27-0113.gpx
